jointing_pattern_id,member_group_id,part_id,part_offset,transverse_offset
J0^M1,M1,"['P1', 'P1', 'P12']","[0, 900, 1800]","[0, 0, 0]"
J1^M1,M1,"['P1', 'P3', 'P10']","[0, 900, 2250]","[0, 0, 0]"
J2^M1,M1,"['P1', 'P5', 'P8']","[0, 900, 2700]","[0, 0, 0]"
J3^M1,M1,"['P1', 'P7', 'P6']","[0, 900, 3150]","[0, 0, 0]"
J4^M1,M1,"['P1', 'P9', 'P4']","[0, 900, 3600]","[0, 0, 0]"
J5^M1,M1,"['P1', 'P11', 'P2']","[0, 900, 4050]","[0, 0, 0]"
J6^M1,M1,"['P1', 'P13', 'P0']","[0, 900, 4500]","[0, 0, 0]"
J7^M1,M1,"['P1', 'P16']","[0, 900]","[0, 0]"
J8^M1,M1,"['P3', 'P3', 'P8']","[0, 1350, 2700]","[0, 0, 0]"
J9^M1,M1,"['P3', 'P5', 'P6']","[0, 1350, 3150]","[0, 0, 0]"
J10^M1,M1,"['P3', 'P7', 'P4']","[0, 1350, 3600]","[0, 0, 0]"
J11^M1,M1,"['P3', 'P9', 'P2']","[0, 1350, 4050]","[0, 0, 0]"
J12^M1,M1,"['P3', 'P11', 'P0']","[0, 1350, 4500]","[0, 0, 0]"
J13^M1,M1,"['P3', 'P14']","[0, 1350]","[0, 0]"
J14^M1,M1,"['P5', 'P5', 'P4']","[0, 1800, 3600]","[0, 0, 0]"
J15^M1,M1,"['P5', 'P7', 'P2']","[0, 1800, 4050]","[0, 0, 0]"
J16^M1,M1,"['P5', 'P9', 'P0']","[0, 1800, 4500]","[0, 0, 0]"
J17^M1,M1,"['P5', 'P12']","[0, 1800]","[0, 0]"
J18^M1,M1,"['P7', 'P7', 'P0']","[0, 2250, 4500]","[0, 0, 0]"
J19^M1,M1,"['P7', 'P10']","[0, 2250]","[0, 0]"
J20^M1,M1,"['P9', 'P8']","[0, 2700]","[0, 0]"
J21^M1,M1,"['P11', 'P6']","[0, 3150]","[0, 0]"
J22^M1,M1,"['P13', 'P4']","[0, 3600]","[0, 0]"
J23^M1,M1,"['P15', 'P2']","[0, 4050]","[0, 0]"
J24^M1,M1,"['P17', 'P0']","[0, 4500]","[0, 0]"
J25^M1,M1,['P20'],[0],[0]
J0^M2,M2,['P21'],[0],[0]
J0^M3,M3,"['P23', 'P23', 'P24', 'P23', 'P23', 'P24']","[0, 1600, 3200, 0, 1600, 3200]","[0, 0, 0, 1, 1, 1]"
J1^M3,M3,"['P23', 'P25', 'P22', 'P23', 'P25', 'P22']","[0, 1600, 4800, 0, 1600, 4800]","[0, 0, 0, 1, 1, 1]"
J2^M3,M3,"['P23', 'P26', 'P23', 'P26']","[0, 1600, 0, 1600]","[0, 0, 1, 1]"
J3^M3,M3,"['P25', 'P24', 'P25', 'P24']","[0, 3200, 0, 3200]","[0, 0, 1, 1]"
J4^M3,M3,"['P27', 'P22', 'P27', 'P22']","[0, 4800, 0, 4800]","[0, 0, 1, 1]"
J5^M3,M3,"['P28', 'P28']","[0, 0]","[0, 1]"
