,L,section_group,D,B,part_name
P0,500,G1,90,19,P0
P1,900,G1,90,19,P1
P2,950,G1,90,19,P2
P3,1350,G1,90,19,P3
P4,1400,G1,90,19,P4
P5,1800,G1,90,19,P5
P6,1850,G1,90,19,P6
P7,2250,G1,90,19,P7
P8,2300,G1,90,19,P8
P9,2700,G1,90,19,P9
P10,2750,G1,90,19,P10
P11,3150,G1,90,19,P11
P12,3200,G1,90,19,P12
P13,3600,G1,90,19,P13
P14,3650,G1,90,19,P14
P15,4050,G1,90,19,P15
P16,4100,G1,90,19,P16
P17,4500,G1,90,19,P17
P18,4550,G1,90,19,P18
P19,4950,G1,90,19,P19
P20,5000,G1,90,19,P20
P21,2300,G3,90,35,P21
P22,200,G2,90,45,P22
P23,1600,G2,90,45,P23
P24,1800,G2,90,45,P24
P25,3200,G2,90,45,P25
P26,3400,G2,90,45,P26
P27,4800,G2,90,45,P27
P28,5000,G2,90,45,P28
