member_id,member_group_id,jointing_pattern_id,part_id,part_count
M1-1,M1,J16^M1,"['P5', 'P9', 'P0']",3
M1-2,M1,J16^M1,"['P5', 'P9', 'P0']",3
M1-3,M1,J19^M1,"['P7', 'P10']",2
M1-4,M1,J19^M1,"['P7', 'P10']",2
M1-5,M1,J19^M1,"['P7', 'P10']",2
M1-6,M1,J19^M1,"['P7', 'P10']",2
M1-7,M1,J19^M1,"['P7', 'P10']",2
M1-8,M1,J19^M1,"['P7', 'P10']",2
M1-9,M1,J19^M1,"['P7', 'P10']",2
M1-10,M1,J19^M1,"['P7', 'P10']",2
M1-11,M1,J19^M1,"['P7', 'P10']",2
M1-12,M1,J19^M1,"['P7', 'P10']",2
M1-13,M1,J20^M1,"['P9', 'P8']",2
M1-14,M1,J20^M1,"['P9', 'P8']",2
M1-15,M1,J20^M1,"['P9', 'P8']",2
M1-16,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-17,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-18,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-19,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-20,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-21,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-22,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-23,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-24,M1,J9^M1,"['P3', 'P5', 'P6']",3
M1-25,M1,J9^M1,"['P3', 'P5', 'P6']",3
M2-1,M2,J0^M2,['P21'],1
M2-2,M2,J0^M2,['P21'],1
M2-3,M2,J0^M2,['P21'],1
M2-4,M2,J0^M2,['P21'],1
M2-5,M2,J0^M2,['P21'],1
M2-6,M2,J0^M2,['P21'],1
M2-7,M2,J0^M2,['P21'],1
M2-8,M2,J0^M2,['P21'],1
M2-9,M2,J0^M2,['P21'],1
M2-10,M2,J0^M2,['P21'],1
M2-11,M2,J0^M2,['P21'],1
M2-12,M2,J0^M2,['P21'],1
M2-13,M2,J0^M2,['P21'],1
M3-1,M3,J0^M3,"['P23', 'P23', 'P24', 'P23', 'P23', 'P24']",6
M3-2,M3,J0^M3,"['P23', 'P23', 'P24', 'P23', 'P23', 'P24']",6
M3-3,M3,J0^M3,"['P23', 'P23', 'P24', 'P23', 'P23', 'P24']",6
