name,qty
E1,19
E2,75
E3,75
E4,23
E5,54
E6,36
E7,35
E8,11
E9,5
E10,3
E11,3
E12,1
E13,8
E14,9
E15,7
E16,8
E17,40
E18,25
E19,3
E20,6
E21,1
E22,11
E23,3
E24,11
E25,45
E26,45
E27,14
E28,32
E29,22
E30,21
E31,7
E32,3
E33,1
E34,2
E35,4
E36,5
E37,4
E38,5
E39,24
E40,15
E41,2
E42,4
E43,1
E44,7
E45,2
E46,4
E47,15
E48,15
E49,4
E50,11
E51,7
E52,7
E53,2
E54,1
E55,1
E56,1
E57,2
E58,1
E59,1
E60,8
E61,5
E62,1
E63,2
E64,3
E65,15
E66,15
E67,4
E68,10
E69,7
E70,7
E71,2
E72,1
E73,1
E74,2
E75,1
E76,1
E77,8
E78,5
E79,1
E80,2
