name,part_count,unused_part_count,T_p,T_w,f,f_hat
E1,19.0,0,0,0.0,19.0,1.0
E2,65.0,0,0,19500.0,19565.0,0.8
E3,75.0,0,0,0.0,75.0,1.0
E4,13.0,0,0,3900.0,3913.0,0.8571428571428572
E5,0.0,0,0,0.0,0.0,
E6,36.0,0,0,10800.0,10836.0,0.8888888888888888
E7,35.0,0,0,21000.0,21035.0,0.8
E8,11.0,0,0,7500.0,7511.0,0.7933884297520661
E9,10.0,0,0,0.0,10.0,1.0
E10,6.0,0,0,900.0,906.0,0.9230769230769231
E11,6.0,0,0,0.0,6.0,1.0
E12,2.0,0,0,300.0,302.0,0.9333333333333333
E13,1.0,0,0,400.0,401.0,0.6666666666666667
E14,0.0,0,0,0.0,0.0,
E15,14.0,0,0,1400.0,1414.0,0.8888888888888888
E16,16.0,0,0,4000.0,4016.0,0.7619047619047619
E17,25.0,0,0,17500.0,17525.0,0.6956521739130435
E18,25.0,0,0,0.0,25.0,1.0
E19,3.0,0,0,900.0,903.0,0.8888888888888888
E20,8.0,0,0,3600.0,3608.0,0.8
E21,2.0,0,0,500.0,502.0,0.7619047619047619
E22,11.0,0,0,7700.0,7711.0,0.6956521739130435
E23,3.0,0,0,1800.0,1803.0,0.8
E24,11.0,0,0,4400.0,4411.0,0.6666666666666667
E25,2.0,0,0,1400.0,1402.0,0.5333333333333333
E26,45.0,0,0,9000.0,9045.0,0.8888888888888888
E27,28.0,0,0,7000.0,7028.0,0.7619047619047619
E28,41.0,0,0,22400.0,22441.0,0.6956521739130435
E29,22.0,0,0,6600.0,6622.0,0.8888888888888888
E30,21.0,0,0,12600.0,12621.0,0.8
E31,14.0,0,0,700.0,714.0,0.9696969696969697
E32,6.0,0,0,1200.0,1206.0,0.8888888888888888
E33,2.0,0,0,700.0,702.0,0.8205128205128205
E34,4.0,0,0,400.0,404.0,0.9523809523809523
E35,2.0,0,0,0.0,2.0,1.0
E36,0.0,0,0,0.0,0.0,
E37,4.0,0,0,1172.0,1176.0,0.8372222222222222
E38,5.0,0,0,2965.0,2970.0,0.7176190476190476
E39,24.0,0,0,19032.0,19056.0,0.6552173913043478
E40,17.0,0,0,11609.0,11626.0,0.6775277777777777
E41,6.0,0,0,0.0,6.0,1.0
E42,4.0,0,0,0.0,4.0,1.0
E43,1.0,0,0,593.0,594.0,0.7176190476190476
E44,7.0,0,0,3793.0,3800.0,0.7644099378881988
E45,2.0,0,0,0.0,2.0,1.0
E46,4.0,0,0,0.0,4.0,1.0
E47,13.0,0,0,3900.0,3913.0,0.8
E48,15.0,0,0,0.0,15.0,1.0
E49,4.0,0,0,1200.0,1204.0,0.8571428571428572
E50,1.0,0,0,500.0,501.0,0.782608695652174
E51,7.0,0,0,2100.0,2107.0,0.8888888888888888
E52,8.0,0,0,0.0,8.0,1.0
E53,2.0,0,0,600.0,602.0,0.9090909090909091
E54,2.0,0,0,0.0,2.0,1.0
E55,2.0,0,0,0.0,2.0,1.0
E56,0.0,0,0,0.0,0.0,
E57,0.0,0,0,0.0,0.0,
E58,0.0,0,0,0.0,0.0,
E59,0.0,0,0,0.0,0.0,
E60,0.0,0,0,0.0,0.0,
E61,0.0,0,0,0.0,0.0,
E62,0.0,0,0,0.0,0.0,
E63,0.0,0,0,0.0,0.0,
E64,0.0,0,0,0.0,0.0,
E65,0.0,0,0,0.0,0.0,
E66,15.0,0,0,4395.0,4410.0,0.8372222222222222
E67,4.0,0,0,2372.0,2376.0,0.7176190476190476
E68,10.0,0,0,7930.0,7940.0,0.6552173913043478
E69,7.0,0,0,8351.0,8358.0,0.5581481481481482
E70,6.0,0,0,8958.0,8964.0,0.5023333333333333
E71,4.0,0,0,572.0,576.0,0.9133333333333333
E72,2.0,0,0,586.0,588.0,0.8372222222222222
E73,0.0,0,0,0.0,0.0,
E74,0.0,0,0,0.0,0.0,
E75,0.0,0,0,0.0,0.0,
E76,0.0,0,0,0.0,0.0,
E77,0.0,0,0,0.0,0.0,
E78,0.0,0,0,0.0,0.0,
E79,0.0,0,0,0.0,0.0,
E80,0.0,0,0,0.0,0.0,
