member_id,member_group_id,jointing_pattern_id,repeat_structure,part_id,part_count
M1-1,M1,J0^M1,1,['P0'],1
M1-2,M1,J0^M1,1,['P0'],1
M1-3,M1,J0^M1,1,['P0'],1
M1-4,M1,J0^M1,1,['P0'],1
M1-5,M1,J0^M1,1,['P0'],1
M1-6,M1,J0^M1,1,['P0'],1
M1-7,M1,J0^M1,1,['P0'],1
M2-1,M2,J0^M2,1,['P0'],1
M2-2,M2,J0^M2,1,['P0'],1
M3-1,M3,J0^M3,1,['P1'],1
M4-1,M4,J0^M4,1,['P2'],1
M4-2,M4,J0^M4,1,['P2'],1
M4-3,M4,J0^M4,1,['P2'],1
M4-4,M4,J0^M4,1,['P2'],1
M5-1,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-2,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-3,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-4,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-5,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M5-6,M5,J0^M5,1,"['P3', 'P4', 'P3', 'P4']",4
M6-1,M6,J0^M6,1,['P2'],1
M6-2,M6,J0^M6,1,['P2'],1
M6-3,M6,J0^M6,1,['P2'],1
M6-4,M6,J0^M6,1,['P2'],1
M6-5,M6,J0^M6,1,['P2'],1
M6-6,M6,J0^M6,1,['P2'],1
M6-7,M6,J0^M6,1,['P2'],1
M6-8,M6,J0^M6,1,['P2'],1
M6-9,M6,J0^M6,1,['P2'],1
M6-10,M6,J0^M6,1,['P2'],1
M6-11,M6,J0^M6,1,['P2'],1
M7-1,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-2,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-3,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-4,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-5,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M7-6,M7,J0^M7,1,"['P5', 'P6', 'P5', 'P6']",4
M8-1,M8,J1^M8,1,"['P8', 'P8', 'P9', 'P9', 'P8', 'P8', 'P9', 'P9']",8
M9-1,M9,J0^M9,1,"['P8', 'P9', 'P8', 'P9']",4
M10-1,M10,J1^M10,1,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M11-1,M11,J0^M11,1,"['P25', 'P26', 'P25', 'P26']",4
M12-1,M12,J1^M12,1,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M13-1,M13,J0^M13,1,"['P17', 'P18', 'P17', 'P18']",4
M14-1,M14,J1^M14,1,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']",8
M15-1,M15,J0^M15,1,"['P17', 'P18', 'P17', 'P18']",4
M16-1,M16,J0^M16,1,['P29'],1
M16-2,M16,J0^M16,1,['P29'],1
M16-3,M16,J0^M16,1,['P29'],1
M16-4,M16,J0^M16,1,['P29'],1
M16-5,M16,J0^M16,1,['P29'],1
M16-6,M16,J0^M16,1,['P29'],1
M16-7,M16,J0^M16,1,['P29'],1
M16-8,M16,J0^M16,1,['P29'],1
M17-1,M17,J0^M17,1,['P30'],1
M17-2,M17,J0^M17,1,['P30'],1
M17-3,M17,J0^M17,1,['P30'],1
M17-4,M17,J0^M17,1,['P30'],1
M17-5,M17,J0^M17,1,['P30'],1
M17-6,M17,J0^M17,1,['P30'],1
M17-7,M17,J0^M17,1,['P30'],1
M17-8,M17,J0^M17,1,['P30'],1
M1-1,M1,J0^M1,2,['P0'],1
M1-2,M1,J0^M1,2,['P0'],1
M1-3,M1,J0^M1,2,['P0'],1
M1-4,M1,J0^M1,2,['P0'],1
M1-5,M1,J0^M1,2,['P0'],1
M1-6,M1,J0^M1,2,['P0'],1
M1-7,M1,J0^M1,2,['P0'],1
M2-1,M2,J0^M2,2,['P0'],1
M2-2,M2,J0^M2,2,['P0'],1
M3-1,M3,J0^M3,2,['P1'],1
M4-1,M4,J0^M4,2,['P2'],1
M4-2,M4,J0^M4,2,['P2'],1
M4-3,M4,J0^M4,2,['P2'],1
M4-4,M4,J0^M4,2,['P2'],1
M5-1,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-2,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-3,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-4,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-5,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M5-6,M5,J0^M5,2,"['P3', 'P4', 'P3', 'P4']",4
M6-1,M6,J0^M6,2,['P2'],1
M6-2,M6,J0^M6,2,['P2'],1
M6-3,M6,J0^M6,2,['P2'],1
M6-4,M6,J0^M6,2,['P2'],1
M6-5,M6,J0^M6,2,['P2'],1
M6-6,M6,J0^M6,2,['P2'],1
M6-7,M6,J0^M6,2,['P2'],1
M6-8,M6,J0^M6,2,['P2'],1
M6-9,M6,J0^M6,2,['P2'],1
M6-10,M6,J0^M6,2,['P2'],1
M6-11,M6,J0^M6,2,['P2'],1
M7-1,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-2,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-3,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-4,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-5,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M7-6,M7,J0^M7,2,"['P5', 'P6', 'P5', 'P6']",4
M8-1,M8,J1^M8,2,"['P8', 'P8', 'P9', 'P9', 'P8', 'P8', 'P9', 'P9']",8
