,0,1
0,x_J0^M1,42.0
1,x_J0^M10,0.0
2,x_J0^M11,3.0
3,x_J0^M12,0.0
4,x_J0^M13,6.0
5,x_J0^M14,0.0
6,x_J0^M15,4.0
7,x_J0^M16,48.0
8,x_J0^M17,48.0
9,x_J0^M2,12.0
10,x_J0^M3,6.0
11,x_J0^M4,24.0
12,x_J0^M5,35.0
13,x_J0^M6,66.0
14,x_J0^M7,18.0
15,x_J0^M8,0.0
16,x_J0^M9,2.0
17,x_J10^M10,0.0
18,x_J10^M12,0.0
19,x_J10^M14,0.0
20,x_J10^M8,0.0
21,x_J1^M10,6.0
22,x_J1^M11,3.0
23,x_J1^M12,6.0
24,x_J1^M13,0.0
25,x_J1^M14,6.0
26,x_J1^M15,2.0
27,x_J1^M5,1.0
28,x_J1^M7,18.0
29,x_J1^M8,3.0
30,x_J1^M9,4.0
31,x_J2^M10,0.0
32,x_J2^M12,0.0
33,x_J2^M14,0.0
34,x_J2^M8,0.0
35,x_J3^M10,0.0
36,x_J3^M12,0.0
37,x_J3^M14,0.0
38,x_J3^M8,0.0
39,x_J4^M10,0.0
40,x_J4^M12,0.0
41,x_J4^M14,0.0
42,x_J4^M8,1.0
43,x_J5^M10,0.0
44,x_J5^M12,0.0
45,x_J5^M14,0.0
46,x_J5^M8,0.0
47,x_J6^M10,0.0
48,x_J6^M12,0.0
49,x_J6^M14,0.0
50,x_J6^M8,2.0
51,x_J7^M10,0.0
52,x_J7^M12,0.0
53,x_J7^M14,0.0
54,x_J7^M8,0.0
55,x_J8^M10,0.0
56,x_J8^M12,0.0
57,x_J8^M14,0.0
58,x_J8^M8,0.0
59,x_J9^M10,0.0
60,x_J9^M12,0.0
61,x_J9^M14,0.0
62,x_J9^M8,0.0
