element_id,element_group_id,cutting_pattern_id,part_id,part_count,total_part_length,L,T_w
E1-1,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-2,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-3,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-4,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-5,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-6,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-7,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-8,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-9,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-10,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-11,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-12,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-13,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-14,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-15,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-16,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-17,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-18,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E1-19,E1,C0^E1,['P17'],1.0,1200.0,1200,0.0
E2-1,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-2,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-3,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-4,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-5,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-6,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-7,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-8,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-9,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-10,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-11,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-12,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-13,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-14,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-15,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-16,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-17,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-18,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-19,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-20,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-21,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-22,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-23,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-24,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-25,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-26,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-27,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-28,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-29,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-30,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-31,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-32,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-33,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-34,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-35,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-36,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-37,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-38,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-39,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-40,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-41,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-42,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-43,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-44,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-45,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
E2-46,E2,C1^E2,['P17'],1.0,1200.0,1500,300.0
