,waste
C0^E1,0.0
C0^E13,400.0
C0^E24,400.0
C0^E35,300.0
C0^E46,0.0
C0^E66,293.0
C10^E18,0.0
C10^E29,300.0
C10^E38,300.0
C10^E51,300.0
C10^E6,300.0
C11^E19,300.0
C11^E30,600.0
C11^E38,0.0
C11^E52,600.0
C11^E7,600.0
C12^E19,300.0
C12^E30,600.0
C12^E39,500.0
C12^E52,0.0
C12^E7,0.0
C13^E19,300.0
C13^E30,600.0
C13^E39,793.0
C13^E52,600.0
C13^E7,600.0
C14^E20,600.0
C14^E31,100.0
C14^E39,500.0
C14^E52,0.0
C14^E7,0.0
C15^E20,600.0
C15^E31,100.0
C15^E39,200.0
C15^E53,900.0
C15^E8,900.0
C16^E20,600.0
C16^E31,100.0
C16^E40,600.0
C16^E53,300.0
C16^E8,300.0
C17^E21,500.0
C17^E31,100.0
C17^E40,893.0
C17^E53,900.0
C17^E8,900.0
C18^E21,500.0
C18^E32,400.0
C18^E40,600.0
C18^E53,300.0
C18^E8,300.0
C19^E22,700.0
C19^E32,400.0
C19^E40,300.0
C19^E54,600.0
C19^E9,600.0
C1^E14,700.0
C1^E2,300.0
C1^E25,700.0
C1^E35,0.0
C1^E47,300.0
C1^E67,593.0
C20^E22,700.0
C20^E32,400.0
C20^E40,0.0
C20^E54,0.0
C20^E9,0.0
C21^E23,600.0
C21^E32,400.0
C21^E41,600.0
C21^E54,600.0
C21^E9,0.0
C22^E23,600.0
C22^E33,700.0
C22^E41,0.0
C22^E54,0.0
C22^E9,600.0
C23^E23,600.0
C23^E33,700.0
C23^E41,293.0
C23^E54,0.0
C23^E9,0.0
C24^E33,700.0
C24^E41,300.0
C24^E54,0.0
C24^E9,0.0
C25^E10,900.0
C25^E33,700.0
C25^E41,0.0
C25^E55,600.0
C26^E10,300.0
C26^E34,200.0
C26^E42,0.0
C26^E55,0.0
C27^E10,300.0
C27^E34,200.0
C27^E42,300.0
C27^E55,600.0
C28^E10,900.0
C28^E34,200.0
C28^E42,593.0
C28^E55,0.0
C29^E10,300.0
C29^E34,200.0
C29^E42,600.0
C29^E55,600.0
C2^E15,200.0
C2^E26,200.0
C2^E3,600.0
C2^E36,600.0
C2^E48,600.0
C2^E68,793.0
C30^E10,300.0
C30^E34,200.0
C30^E42,0.0
C30^E55,0.0
C31^E11,600.0
C31^E42,293.0
C31^E55,600.0
C32^E11,0.0
C32^E42,300.0
C32^E55,0.0
C33^E11,600.0
C33^E42,0.0
C34^E11,0.0
C34^E43,300.0
C35^E11,0.0
C35^E43,593.0
C36^E11,600.0
C36^E43,300.0
C37^E11,600.0
C37^E43,0.0
C38^E11,0.0
C38^E44,500.0
C39^E12,900.0
C39^E44,793.0
C3^E15,200.0
C3^E26,200.0
C3^E3,0.0
C3^E36,300.0
C3^E48,0.0
C3^E69,1193.0
C40^E12,300.0
C40^E44,500.0
C41^E12,900.0
C41^E44,200.0
C42^E12,300.0
C42^E45,0.0
C43^E12,300.0
C43^E45,300.0
C44^E12,900.0
C44^E45,593.0
C45^E12,900.0
C45^E45,600.0
C46^E12,300.0
C46^E45,0.0
C47^E45,293.0
C48^E45,300.0
C49^E45,0.0
C4^E16,500.0
C4^E27,500.0
C4^E37,600.0
C4^E4,900.0
C4^E49,900.0
C4^E70,1493.0
C5^E16,500.0
C5^E27,500.0
C5^E37,0.0
C5^E4,300.0
C5^E49,300.0
C5^E71,286.0
C6^E17,700.0
C6^E28,700.0
C6^E37,293.0
C6^E5,1100.0
C6^E50,1100.0
C6^E72,586.0
C7^E17,700.0
C7^E28,700.0
C7^E37,0.0
C7^E5,500.0
C7^E50,500.0
C8^E18,0.0
C8^E29,300.0
C8^E38,300.0
C8^E51,900.0
C8^E6,300.0
C9^E18,0.0
C9^E29,300.0
C9^E38,593.0
C9^E51,300.0
C9^E6,900.0
