name,size,grade,D,B,L,qty,batch,L_total,section_group
E1,70x35,F5,70,35,1200,19,1,22800,G1
E2,70x35,F5,70,35,1500,75,1,112500,G1
E3,70x35,F5,70,35,1800,75,1,135000,G1
E4,70x35,F5,70,35,2100,23,1,48300,G1
E5,70x35,F5,70,35,2300,54,1,124200,G1
E6,70x35,F5,70,35,2700,36,1,97200,G1
E7,70x35,F5,70,35,3000,35,1,105000,G1
E8,70x35,F5,70,35,3300,11,1,36300,G1
E9,70x35,F5,70,35,3600,5,1,18000,G1
E10,70x35,F5,70,35,3900,3,1,11700,G1
E11,70x35,F5,70,35,4200,3,1,12600,G1
E12,70x35,F5,70,35,4500,1,1,4500,G1
E13,90x35,F5,90,35,1200,8,1,9600,G2
E14,90x35,F5,90,35,1500,9,1,13500,G2
E15,90x35,F5,90,35,1800,7,1,12600,G2
E16,90x35,F5,90,35,2100,8,1,16800,G2
E17,90x35,F5,90,35,2300,40,1,92000,G2
E18,90x35,F5,90,35,2400,25,1,60000,G2
E19,90x35,F5,90,35,2700,3,1,8100,G2
E20,90x35,F5,90,35,3000,6,1,18000,G2
E21,90x35,F5,90,35,2100,1,1,2100,G2
E22,90x35,F5,90,35,2300,11,1,25300,G2
E23,90x35,F5,90,35,3000,3,1,9000,G2
E24,70x35,MGP10,70,35,1200,11,1,13200,G3
E25,70x35,MGP10,70,35,1500,45,1,67500,G3
E26,70x35,MGP10,70,35,1800,45,1,81000,G3
E27,70x35,MGP10,70,35,2100,14,1,29400,G3
E28,70x35,MGP10,70,35,2300,32,1,73600,G3
E29,70x35,MGP10,70,35,2700,22,1,59400,G3
E30,70x35,MGP10,70,35,3000,21,1,63000,G3
E31,70x35,MGP10,70,35,3300,7,1,23100,G3
E32,70x35,MGP10,70,35,3600,3,1,10800,G3
E33,70x35,MGP10,70,35,3900,1,1,3900,G3
E34,70x35,MGP10,70,35,4200,2,1,8400,G3
E35,90x35,MGP10,90,35,1200,4,1,4800,G4
E36,90x35,MGP10,90,35,1500,5,1,7500,G4
E37,90x35,MGP10,90,35,1800,4,1,7200,G4
E38,90x35,MGP10,90,35,2100,5,1,10500,G4
E39,90x35,MGP10,90,35,2300,24,1,55200,G4
E40,90x35,MGP10,90,35,2400,15,1,36000,G4
E41,90x35,MGP10,90,35,2700,2,1,5400,G4
E42,90x35,MGP10,90,35,3000,4,1,12000,G4
E43,90x35,MGP10,90,35,2100,1,1,2100,G4
E44,90x35,MGP10,90,35,2300,7,1,16100,G4
E45,90x35,MGP10,90,35,3000,2,1,6000,G4
E46,70x35,MGP12,70,35,1200,4,1,4800,G5
E47,70x35,MGP12,70,35,1500,15,1,22500,G5
E48,70x35,MGP12,70,35,1800,15,1,27000,G5
E49,70x35,MGP12,70,35,2100,4,1,8400,G5
E50,70x35,MGP12,70,35,2300,11,1,25300,G5
E51,70x35,MGP12,70,35,2700,7,1,18900,G5
E52,70x35,MGP12,70,35,3000,7,1,21000,G5
E53,70x35,MGP12,70,35,3300,2,1,6600,G5
E54,70x35,MGP12,70,35,3600,1,1,3600,G5
E55,70x35,MGP12,70,35,4200,1,1,4200,G5
E56,90x35,MGP12,90,35,1200,1,1,1200,G6
E57,90x35,MGP12,90,35,1500,2,1,3000,G6
E58,90x35,MGP12,90,35,1800,1,1,1800,G6
E59,90x35,MGP12,90,35,2100,1,1,2100,G6
E60,90x35,MGP12,90,35,2300,8,1,18400,G6
E61,90x35,MGP12,90,35,2400,5,1,12000,G6
E62,90x35,MGP12,90,35,3000,1,1,3000,G6
E63,90x35,MGP12,90,35,2300,2,1,4600,G6
E64,70x35,MGP15,70,35,1200,3,1,3600,G7
E65,70x35,MGP15,70,35,1500,15,1,22500,G7
E66,70x35,MGP15,70,35,1800,15,1,27000,G7
E67,70x35,MGP15,70,35,2100,4,1,8400,G7
E68,70x35,MGP15,70,35,2300,10,1,23000,G7
E69,70x35,MGP15,70,35,2700,7,1,18900,G7
E70,70x35,MGP15,70,35,3000,7,1,21000,G7
E71,70x35,MGP15,70,35,3300,2,1,6600,G7
E72,70x35,MGP15,70,35,3600,1,1,3600,G7
E73,90x35,MGP15,90,35,1200,1,1,1200,G8
E74,90x35,MGP15,90,35,1500,2,1,3000,G8
E75,90x35,MGP15,90,35,1800,1,1,1800,G8
E76,90x35,MGP15,90,35,2100,1,1,2100,G8
E77,90x35,MGP15,90,35,2300,8,1,18400,G8
E78,90x35,MGP15,90,35,2400,5,1,12000,G8
E79,90x35,MGP15,90,35,3000,1,1,3000,G8
E80,90x35,MGP15,90,35,2300,2,1,4600,G8
