size,grade,D,B,L,qty,batch
70x35,F5,70,35,1200,37,1
70x35,F5,70,35,1500,150,1
70x35,F5,70,35,1800,150,1
70x35,F5,70,35,2100,43,1
90x35,F5,90,35,1200,14,1
90x35,F5,90,35,1500,18,1
90x35,F5,90,35,1800,13,1
90x35,F5,90,35,2100,15,1
70x35,F5,70,35,2300,85,1
70x35,F5,70,35,2700,72,1
70x35,F5,70,35,3000,65,1
70x35,F5,70,35,3300,22,1
70x35,F5,70,35,3600,10,1
70x35,F5,70,35,3900,4,1
70x35,F5,70,35,4200,6,1
70x35,F5,70,35,4500,1,1
90x35,F5,90,35,2300,80,1
90x35,F5,90,35,2700,5,1
90x35,F5,90,35,3000,12,1
70x35,MGP10,70,35,2100,2,1
70x35,MGP10,70,35,2300,22,1
70x35,MGP10,70,35,3000,5,1
90x35,MGP10,90,35,2400,50,1
