grade,size,roof_load_width,roof_type,rafter_spacing,span_type,max_span
F5,90x35,1500,sheet,600,single,1600
F5,2/90x35,1500,sheet,600,single,1900
F5,90x45,1500,sheet,600,single,1700
F5,2/90x45,1500,sheet,600,single,2000
F5,120x35,1500,sheet,600,single,2000
F5,2/120x35,1500,sheet,600,single,2500
F5,120x45,1500,sheet,600,single,2200
F5,2/120x45,1500,sheet,600,single,2700
F5,140x35,1500,sheet,600,single,2300
F5,2/140x35,1500,sheet,600,single,2800
F5,140x45,1500,sheet,600,single,2500
F5,2/140x45,1500,sheet,600,single,3000
F5,170x35,1500,sheet,600,single,2800
F5,2/170x35,1500,sheet,600,single,3300
F5,170x45,1500,sheet,600,single,3000
F5,2/170x45,1500,sheet,600,single,3500
F5,190x35,1500,sheet,600,single,3100
F5,2/190x35,1500,sheet,600,single,3600
F5,190x45,1500,sheet,600,single,3200
F5,2/190x45,1500,sheet,600,single,3800
F5,240x35,1500,sheet,600,single,3600
F5,2/240x35,1500,sheet,600,single,4200
F5,240x45,1500,sheet,600,single,3800
F5,2/240x45,1500,sheet,600,single,4500
F5,2/290x35,1500,sheet,600,single,4800
F5,290x45,1500,sheet,600,single,4400
F5,2/290x45,1500,sheet,600,single,5100
F5,90x35,1500,sheet,1200,single,1100
F5,2/90x35,1500,sheet,1200,single,1800
F5,90x45,1500,sheet,1200,single,1300
F5,2/90x45,1500,sheet,1200,single,2000
F5,120x35,1500,sheet,1200,single,1600
F5,2/120x35,1500,sheet,1200,single,2600
F5,120x45,1500,sheet,1200,single,1900
F5,2/120x45,1500,sheet,1200,single,2700
F5,140x35,1500,sheet,1200,single,1900
F5,2/140x35,1500,sheet,1200,single,2900
F5,140x45,1500,sheet,1200,single,2600
F5,2/140x45,1500,sheet,1200,single,3000
F5,170x35,1500,sheet,1200,single,2800
F5,2/170x35,1500,sheet,1200,single,3300
F5,170x45,1500,sheet,1200,single,3000
F5,2/170x45,1500,sheet,1200,single,3500
F5,190x35,1500,sheet,1200,single,3000
F5,2/190x35,1500,sheet,1200,single,3600
F5,190x45,1500,sheet,1200,single,3200
F5,2/190x45,1500,sheet,1200,single,3800
F5,240x35,1500,sheet,1200,single,3600
F5,2/240x35,1500,sheet,1200,single,4200
F5,240x45,1500,sheet,1200,single,3800
F5,2/240x45,1500,sheet,1200,single,4400
F5,2/290x35,1500,sheet,1200,single,4800
F5,290x45,1500,sheet,1200,single,4400
F5,2/290x45,1500,sheet,1200,single,5100
F5,90x35,3000,sheet,600,single,1100
F5,2/90x35,3000,sheet,600,single,1500
F5,90x45,3000,sheet,600,single,1400
F5,2/90x45,3000,sheet,600,single,1600
F5,120x35,3000,sheet,600,single,1600
