grade,size,roof_mass,rafter_spacing,span_type,max_span,max_overhang
F5,70x35,10,450,single,1200,300
F5,70x35,20,450,single,1100,250
F5,70x35,40,450,single,1000,250
F5,70x35,60,450,single,1000,250
F5,70x35,90,450,single,0,0
F5,70x45,10,450,single,1400,350
F5,70x45,20,450,single,1400,350
F5,70x45,40,450,single,1400,300
F5,70x45,60,450,single,1400,300
F5,70x45,90,450,single,1200,300
F5,90x35,10,450,single,1900,400
F5,90x35,20,450,single,1900,400
F5,90x35,40,450,single,1900,400
F5,90x35,60,450,single,1800,400
F5,90x35,90,450,single,1600,350
F5,90x45,10,450,single,2200,550
F5,90x45,20,450,single,2200,500
F5,90x45,40,450,single,2200,500
F5,90x45,60,450,single,2000,450
F5,90x45,90,450,single,1800,450
F5,120x35,10,450,single,3200,800
F5,120x35,20,450,single,3200,750
F5,120x35,40,450,single,2800,700
F5,120x35,60,450,single,2500,650
F5,120x35,90,450,single,2200,600
F5,120x45,10,450,single,3900,1000
F5,120x45,20,450,single,3600,1000
F5,120x45,40,450,single,3000,950
F5,120x45,60,450,single,2700,850
F5,120x45,90,450,single,2400,800
F5,70x35,10,600,single,1000,250
F5,70x35,20,600,single,1000,250
F5,70x35,40,600,single,0,0
F5,70x35,60,600,single,0,0
F5,70x35,90,600,single,0,0
F5,70x45,10,600,single,1400,300
F5,70x45,20,600,single,1300,300
F5,70x45,40,600,single,1200,300
F5,70x45,60,600,single,1100,300
F5,70x45,90,600,single,1000,250
F5,90x35,10,600,single,1800,350
F5,90x35,20,600,single,1800,350
F5,90x35,40,600,single,1600,350
F5,90x35,60,600,single,1500,350
F5,90x35,90,600,single,1300,300
F5,90x45,10,600,single,2100,450
F5,90x45,20,600,single,2100,450
F5,90x45,40,600,single,2100,400
F5,90x45,60,600,single,1800,400
F5,90x45,90,600,single,1600,400
F5,120x35,10,600,single,3000,600
F5,120x35,20,600,single,3000,550
F5,120x35,40,600,single,2600,550
F5,120x35,60,600,single,2300,500
F5,120x35,90,600,single,2000,500
F5,120x45,10,600,single,3600,800
F5,120x45,20,600,single,3400,750
F5,120x45,40,600,single,2800,700
F5,120x45,60,600,single,2500,650
F5,120x45,90,600,single,2200,600
F5,70x35,10,900,single,0,0
F5,70x35,20,900,single,0,0
F5,70x35,40,900,single,0,0
F5,70x35,60,900,single,0,0
F5,70x35,90,900,single,0,0
F5,70x45,10,900,single,1100,250
F5,70x45,20,900,single,1100,250
F5,70x45,40,900,single,1000,250
F5,70x45,60,900,single,1000,250
F5,70x45,90,900,single,0,0
F5,90x35,10,900,single,1500,300
F5,90x35,20,900,single,1400,300
F5,90x35,40,900,single,1300,300
F5,90x35,60,900,single,1200,300
F5,90x35,90,900,single,1100,300
F5,90x45,10,900,single,1900,350
F5,90x45,20,900,single,1800,350
F5,90x45,40,900,single,1600,350
F5,90x45,60,900,single,1500,350
F5,90x45,90,900,single,1300,350
F5,120x35,10,900,single,2800,500
F5,120x35,20,900,single,2800,450
F5,120x35,40,900,single,2300,450
F5,120x35,60,900,single,2000,450
F5,120x35,90,900,single,1700,400
F5,120x45,10,900,single,3200,600
F5,120x45,20,900,single,3000,600
F5,120x45,40,900,single,2500,550
F5,120x45,60,900,single,2200,550
F5,120x45,90,900,single,1900,500
F5,70x35,10,1200,single,0,0
F5,70x35,20,1200,single,0,0
F5,70x35,40,1200,single,0,0
F5,70x35,60,1200,single,0,0
F5,70x35,90,1200,single,0,0
F5,70x45,10,1200,single,1100,250
F5,70x45,20,1200,single,1000,250
F5,70x45,40,1200,single,1000,250
F5,70x45,60,1200,single,0,0
F5,70x45,90,1200,single,0,0
F5,90x35,10,1200,single,1400,300
F5,90x35,20,1200,single,1300,300
F5,90x35,40,1200,single,1200,250
F5,90x35,60,1200,single,1100,250
F5,90x35,90,1200,single,1000,250
F5,90x45,10,1200,single,1700,350
F5,90x45,20,1200,single,1600,350
F5,90x45,40,1200,single,1500,300
F5,90x45,60,1200,single,1400,300
F5,90x45,90,1200,single,1200,300
F5,120x35,10,1200,single,2400,450
F5,120x35,20,1200,single,2200,400
F5,120x35,40,1200,single,1900,400
F5,120x35,60,1200,single,1700,400
F5,120x35,90,1200,single,1600,350
F5,120x45,10,1200,single,3000,550
F5,120x45,20,1200,single,2800,500
F5,120x45,40,1200,single,2200,500
F5,120x45,60,1200,single,2000,450
F5,120x45,90,1200,single,1700,450
F5,70x35,10,450,continuous,1500,300
F5,70x35,20,450,continuous,1500,250
F5,70x35,40,450,continuous,1500,250
F5,70x35,60,450,continuous,1500,250
F5,70x35,90,450,continuous,1400,250
F5,70x45,10,450,continuous,1800,350
F5,70x45,20,450,continuous,1800,350
F5,70x45,40,450,continuous,1800,300
