size,grade,roof_type,span_type,batten_spacing,max_span,max_cantilever
35x35,F5,tile,continuous,330,550,175
45x35,F5,tile,continuous,330,700,200
70x35,F5,tile,continuous,330,1050,300
90x35,F5,tile,continuous,330,1200,375
45x45,F5,tile,continuous,330,1050,275
70x45,F5,tile,continuous,330,1200,450
90x45,F5,tile,continuous,330,1200,625
35x35,F5,sheet,continuous,450,450,175
45x35,F5,sheet,continuous,450,550,200
70x35,F5,sheet,continuous,450,900,275
90x35,F5,sheet,continuous,450,1150,325
45x45,F5,sheet,continuous,450,950,250
70x45,F5,sheet,continuous,450,1200,375
90x45,F5,sheet,continuous,450,1200,500
35x35,F5,sheet,continuous,600,0,0
45x35,F5,sheet,continuous,600,450,175
70x35,F5,sheet,continuous,600,650,250
90x35,F5,sheet,continuous,600,850,300
45x45,F5,sheet,continuous,600,700,250
70x45,F5,sheet,continuous,600,1100,350
90x45,F5,sheet,continuous,600,1200,425
35x35,F5,sheet,continuous,900,0,0
45x35,F5,sheet,continuous,900,0,0
70x35,F5,sheet,continuous,900,500,225
90x35,F5,sheet,continuous,900,650,250
45x45,F5,sheet,continuous,900,550,225
70x45,F5,sheet,continuous,900,850,300
90x45,F5,sheet,continuous,900,1100,375
35x35,F5,sheet,continuous,1200,0,0
45x35,F5,sheet,continuous,1200,0,0
70x35,F5,sheet,continuous,1200,500,200
90x35,F5,sheet,continuous,1200,650,250
45x45,F5,sheet,continuous,1200,550,200
70x45,F5,sheet,continuous,1200,850,275
70x35,MGP10,sheet,continuous,330,1200,350
90x35,MGP10,sheet,continuous,330,1200,500
70x45,MGP10,sheet,continuous,330,1200,600
90x45,MGP10,sheet,continuous,330,1200,600
70x35,MGP10,sheet,continuous,450,1100,300
90x35,MGP10,sheet,continuous,450,1200,375
70x45,MGP10,sheet,continuous,450,1200,450
90x45,MGP10,sheet,continuous,450,1200,600
70x35,MGP10,sheet,continuous,600,800,275
90x35,MGP10,sheet,continuous,600,1050,325
70x45,MGP10,sheet,continuous,600,1200,400
90x45,MGP10,sheet,continuous,600,1200,500
70x35,MGP10,sheet,continuous,900,650,250
90x35,MGP10,sheet,continuous,900,800,300
70x45,MGP10,sheet,continuous,900,1050,350
90x45,MGP10,sheet,continuous,900,1200,425
70x35,MGP10,sheet,continuous,1200,650,225
90x35,MGP10,sheet,continuous,1200,800,275
70x45,MGP10,sheet,continuous,1200,1050,325
90x45,MGP10,sheet,continuous,1200,1200,400
70x35,MGP10,tile,continuous,330,1200,325
90x35,MGP10,tile,continuous,330,1200,450
70x45,MGP10,tile,continuous,330,1200,575
90x45,MGP10,tile,continuous,330,1200,600
70x35,MGP10,tile,continuous,450,1000,300
90x35,MGP10,tile,continuous,450,1200,350
70x45,MGP10,tile,continuous,450,1200,425
90x45,MGP10,tile,continuous,450,1200,550
70x35,MGP10,tile,continuous,600,750,250
90x35,MGP10,tile,continuous,600,950,300
70x45,MGP10,tile,continuous,600,1200,375
90x45,MGP10,tile,continuous,600,1200,450
70x35,MGP10,tile,continuous,900,600,225
90x35,MGP10,tile,continuous,900,750,275
70x45,MGP10,tile,continuous,900,950,325
90x45,MGP10,tile,continuous,900,1200,400
70x35,MGP10,tile,continuous,1200,600,225
90x35,MGP10,tile,continuous,1200,750,250
70x45,MGP10,tile,continuous,1200,950,300
90x45,MGP10,tile,continuous,1200,1150,350
70x35,MGP12,sheet,continuous,330,1200,600
90x35,MGP12,sheet,continuous,330,1200,600
70x45,MGP12,sheet,continuous,330,1200,600
90x45,MGP12,sheet,continuous,330,1200,600
70x35,MGP12,sheet,continuous,450,1200,525
90x35,MGP12,sheet,continuous,450,1200,600
70x45,MGP12,sheet,continuous,450,1200,600
90x45,MGP12,sheet,continuous,450,1200,600
70x35,MGP12,sheet,continuous,600,1200,425
90x35,MGP12,sheet,continuous,600,1200,550
70x45,MGP12,sheet,continuous,600,1200,600
90x45,MGP12,sheet,continuous,600,1200,600
70x35,MGP12,sheet,continuous,900,1050,375
