grade,size,rafter_spacing,roof_type,roof_load_width,stud_spacing,span_type,max_span
F5,70x35,450,sheet,7500,450,single,2700
F5,70x35,450,sheet,7000,450,single,2700
F5,70x35,450,sheet,6500,450,single,2700
F5,70x35,450,sheet,6000,450,single,2700
F5,70x35,450,sheet,5500,450,single,2700
F5,70x35,450,sheet,5000,450,single,2700
F5,70x35,450,sheet,4500,450,single,3000
F5,70x35,450,sheet,4000,450,single,3000
F5,70x35,450,sheet,3500,450,single,3000
F5,70x35,450,sheet,3000,450,single,3000
F5,70x35,450,sheet,2500,450,single,3000
F5,70x35,450,sheet,2000,450,single,3000
F5,70x35,450,sheet,1500,450,single,3000
F5,70x35,450,sheet,1000,450,single,3000
F5,70x35,450,sheet,500,450,single,3000
F5,70x35,450,sheet,0,450,single,3000
F5,70x45,450,sheet,7500,450,single,3000
F5,70x45,450,sheet,7000,450,single,3000
F5,70x45,450,sheet,6500,450,single,3000
F5,70x45,450,sheet,6000,450,single,3000
F5,70x45,450,sheet,5500,450,single,3000
F5,70x45,450,sheet,5000,450,single,3000
F5,70x45,450,sheet,4500,450,single,3000
F5,70x45,450,sheet,4000,450,single,3000
F5,70x45,450,sheet,3500,450,single,3000
F5,70x45,450,sheet,3000,450,single,3000
F5,70x45,450,sheet,2500,450,single,3000
F5,70x45,450,sheet,2000,450,single,3000
F5,70x45,450,sheet,1500,450,single,3000
F5,70x45,450,sheet,1000,450,single,3000
F5,70x45,450,sheet,500,450,single,3000
F5,70x45,450,sheet,0,450,single,3000
F5,2/70x35,450,sheet,7500,450,single,3000
F5,2/70x35,450,sheet,7000,450,single,3000
F5,2/70x35,450,sheet,6500,450,single,3000
F5,2/70x35,450,sheet,6000,450,single,3000
F5,2/70x35,450,sheet,5500,450,single,3000
F5,2/70x35,450,sheet,5000,450,single,3000
F5,2/70x35,450,sheet,4500,450,single,3000
F5,2/70x35,450,sheet,4000,450,single,3000
F5,2/70x35,450,sheet,3500,450,single,3000
F5,2/70x35,450,sheet,3000,450,single,3000
F5,2/70x35,450,sheet,2500,450,single,3000
F5,2/70x35,450,sheet,2000,450,single,3000
F5,2/70x35,450,sheet,1500,450,single,3000
F5,2/70x35,450,sheet,1000,450,single,3000
F5,2/70x35,450,sheet,500,450,single,3000
F5,2/70x35,450,sheet,0,450,single,3000
F5,2/70x45,450,sheet,7500,450,single,3600
F5,2/70x45,450,sheet,7000,450,single,3600
F5,2/70x45,450,sheet,6500,450,single,3600
F5,2/70x45,450,sheet,6000,450,single,3600
F5,2/70x45,450,sheet,5500,450,single,3600
F5,2/70x45,450,sheet,5000,450,single,3600
F5,2/70x45,450,sheet,4500,450,single,3600
F5,2/70x45,450,sheet,4000,450,single,3600
F5,2/70x45,450,sheet,3500,450,single,3600
F5,2/70x45,450,sheet,3000,450,single,3600
F5,2/70x45,450,sheet,2500,450,single,3600
F5,2/70x45,450,sheet,2000,450,single,3600
F5,2/70x45,450,sheet,1500,450,single,3600
F5,2/70x45,450,sheet,1000,450,single,3600
F5,2/70x45,450,sheet,500,450,single,3600
F5,2/70x45,450,sheet,0,450,single,3600
F5,90x35,450,sheet,7500,450,single,3000
F5,90x35,450,sheet,7000,450,single,3000
F5,90x35,450,sheet,6500,450,single,3000
F5,90x35,450,sheet,6000,450,single,3000
F5,90x35,450,sheet,5500,450,single,3000
F5,90x35,450,sheet,5000,450,single,3000
F5,90x35,450,sheet,4500,450,single,3000
F5,90x35,450,sheet,4000,450,single,3000
F5,90x35,450,sheet,3500,450,single,3000
F5,90x35,450,sheet,3000,450,single,3000
F5,90x35,450,sheet,2500,450,single,3000
F5,90x35,450,sheet,2000,450,single,3000
F5,90x35,450,sheet,1500,450,single,3000
F5,90x35,450,sheet,1000,450,single,3000
F5,90x35,450,sheet,500,450,single,3000
F5,90x35,450,sheet,0,450,single,3000
F5,90x45,450,sheet,7500,450,single,3600
F5,90x45,450,sheet,7000,450,single,3600
F5,90x45,450,sheet,6500,450,single,3600
F5,90x45,450,sheet,6000,450,single,3600
F5,90x45,450,sheet,5500,450,single,3600
F5,90x45,450,sheet,5000,450,single,3600
F5,90x45,450,sheet,4500,450,single,3600
F5,90x45,450,sheet,4000,450,single,3600
F5,90x45,450,sheet,3500,450,single,3600
F5,90x45,450,sheet,3000,450,single,3600
F5,90x45,450,sheet,2500,450,single,3600
F5,90x45,450,sheet,2000,450,single,3600
F5,90x45,450,sheet,1500,450,single,3600
F5,90x45,450,sheet,1000,450,single,3600
F5,90x45,450,sheet,500,450,single,3600
F5,90x45,450,sheet,0,450,single,3600
F5,2/90x35,450,sheet,7500,450,single,3600
F5,2/90x35,450,sheet,7000,450,single,3600
F5,2/90x35,450,sheet,6500,450,single,3600
F5,2/90x35,450,sheet,6000,450,single,3600
F5,2/90x35,450,sheet,5500,450,single,3600
F5,2/90x35,450,sheet,5000,450,single,3600
F5,2/90x35,450,sheet,4500,450,single,3600
F5,2/90x35,450,sheet,4000,450,single,3600
F5,2/90x35,450,sheet,3500,450,single,3600
F5,2/90x35,450,sheet,3000,450,single,3600
F5,2/90x35,450,sheet,2500,450,single,3600
F5,2/90x35,450,sheet,2000,450,single,3600
F5,2/90x35,450,sheet,1500,450,single,3600
F5,2/90x35,450,sheet,1000,450,single,3600
F5,2/90x35,450,sheet,500,450,single,3600
F5,2/90x35,450,sheet,0,450,single,3600
F5,2/90x45,450,sheet,7500,450,single,4200
F5,2/90x45,450,sheet,7000,450,single,4200
F5,2/90x45,450,sheet,6500,450,single,4200
F5,2/90x45,450,sheet,6000,450,single,4200
F5,2/90x45,450,sheet,5500,450,single,4200
F5,2/90x45,450,sheet,5000,450,single,4200
F5,2/90x45,450,sheet,4500,450,single,4200
F5,2/90x45,450,sheet,4000,450,single,4200
F5,2/90x45,450,sheet,3500,450,single,4200
F5,2/90x45,450,sheet,3000,450,single,4200
F5,2/90x45,450,sheet,2500,450,single,4200
F5,2/90x45,450,sheet,2000,450,single,4200
F5,2/90x45,450,sheet,1500,450,single,4200
F5,2/90x45,450,sheet,1000,450,single,4200
F5,2/90x45,450,sheet,500,450,single,4200
F5,2/90x45,450,sheet,0,450,single,4200
